"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","91.520","21,76%"
"RESTAURACIÓN NACIONAL","86.719","20,62%"
"ACCIÓN CIUDADANA","73.436","17,46%"
"UNIDAD SOCIAL CRISTIANA","60.235","14,32%"
"INTEGRACIÓN NACIONAL","30.612","7,28%"
"REPUBLICANO SOCIALCRISTIANO","20.237","4,81%"
"FRENTE AMPLIO","11.982","2,85%"
"NUEVA GENERACIÓN","9.846","2,34%"
"ACCESIBILIDAD SIN EXCLUSIÓN","8.737","2,08%"
"ALIANZA DEMÓCRATA CRISTIANA","7.154","1,70%"
"RENOVACIÓN COSTARRICENSE","7.037","1,67%"
"MOVIMIENTO LIBERTARIO","6.557","1,56%"
"LIBERAL PROGRESISTA","3.693","0,88%"
"DE LOS TRABAJADORES","2.816","0,67%"
"Juntas Procesadas","1.266" 
"Juntas faltantes","0" 
"Votos recibidos","428.185" 
"Votos válidos","420.581"
"Nulos y blancos","7.604" 
"% Participación","67,86"
"% Abstencionismo","32,14"
