"Partido político","Votos","%"
"ACCIÓN CIUDADANA","54.242","19,88%"
"LIBERACIÓN NACIONAL","54.197","19,86%"
"UNIDAD SOCIAL CRISTIANA","36.309","13,31%"
"RESTAURACIÓN NACIONAL","28.709","10,52%"
"INTEGRACIÓN NACIONAL","22.346","8,19%"
"ALIANZA DEMÓCRATA CRISTIANA","15.422","5,65%"
"REPUBLICANO SOCIALCRISTIANO","12.877","4,72%"
"ACTUEMOS YA","9.898","3,63%"
"FRENTE AMPLIO","9.700","3,55%"
"NUEVA GENERACIÓN","8.710","3,19%"
"ACCESIBILIDAD SIN EXCLUSIÓN","7.070","2,59%"
"RENOVACIÓN COSTARRICENSE","6.910","2,53%"
"MOVIMIENTO LIBERTARIO","5.003","1,83%"
"DE LOS TRABAJADORES","1.501","0,55%"
"Juntas Procesadas","740" 
"Juntas faltantes","0" 
"Votos recibidos","278.521" 
"Votos válidos","272.894"
"Nulos y blancos","5.627" 
"% Participación","71,80"
"% Abstencionismo","28,20"
