"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","32.486","23,36%"
"RESTAURACIÓN NACIONAL","21.864","15,72%"
"UNIDAD SOCIAL CRISTIANA","20.654","14,85%"
"INTEGRACIÓN NACIONAL","17.095","12,29%"
"ACCIÓN CIUDADANA","13.822","9,94%"
"UNIÓN GUANACASTECA","7.994","5,75%"
"REPUBLICANO SOCIALCRISTIANO","4.879","3,51%"
"MOVIMIENTO LIBERTARIO","4.467","3,21%"
"ACCESIBILIDAD SIN EXCLUSIÓN","4.218","3,03%"
"RENOVACIÓN COSTARRICENSE","3.350","2,41%"
"FRENTE AMPLIO","3.163","2,27%"
"ALIANZA DEMÓCRATA CRISTIANA","2.551","1,83%"
"NUEVA GENERACIÓN","1.960","1,41%"
"DE LOS TRABAJADORES","560","0,40%"
"Juntas Procesadas","565" 
"Juntas faltantes","0" 
"Votos recibidos","142.801" 
"Votos válidos","139.063"
"Nulos y blancos","3.738" 
"% Participación","59,34"
"% Abstencionismo","40,66"
