"Partido político","Votos","%"
"ACCIÓN CIUDADANA","49.257","20,95%"
"LIBERACIÓN NACIONAL","44.772","19,05%"
"UNIDAD SOCIAL CRISTIANA","42.063","17,89%"
"RESTAURACIÓN NACIONAL","41.773","17,77%"
"INTEGRACIÓN NACIONAL","16.603","7,06%"
"FRENTE AMPLIO","11.418","4,86%"
"REPUBLICANO SOCIALCRISTIANO","8.122","3,45%"
"NUEVA GENERACIÓN","5.122","2,18%"
"MOVIMIENTO LIBERTARIO","4.659","1,98%"
"ACCESIBILIDAD SIN EXCLUSIÓN","3.347","1,42%"
"RENOVACIÓN COSTARRICENSE","3.027","1,29%"
"ALIANZA DEMÓCRATA CRISTIANA","2.822","1,20%"
"LIBERAL PROGRESISTA","1.050","0,45%"
"DE LOS TRABAJADORES","1.049","0,45%"
"Juntas Procesadas","613" 
"Juntas faltantes","0" 
"Votos recibidos","238.356" 
"Votos válidos","235.084"
"Nulos y blancos","3.272" 
"% Participación","71,61"
"% Abstencionismo","28,39"
