"Partido político","Votos","%"
"RESTAURACIÓN NACIONAL","35.164","23,28%"
"LIBERACIÓN NACIONAL","22.520","14,91%"
"UNIDAD SOCIAL CRISTIANA","14.564","9,64%"
"AUTÉNTICO LIMONENSE","13.661","9,04%"
"ACCIÓN CIUDADANA","10.314","6,83%"
"INTEGRACIÓN NACIONAL","9.954","6,59%"
"ALIANZA DEMÓCRATA CRISTIANA","8.611","5,70%"
"ACCESIBILIDAD SIN EXCLUSIÓN","6.426","4,25%"
"MOVIMIENTO LIBERTARIO","6.417","4,25%"
"FRENTE AMPLIO","5.756","3,81%"
"REPUBLICANO SOCIALCRISTIANO","5.459","3,61%"
"RENOVACIÓN COSTARRICENSE","5.250","3,48%"
"RECUPERANDO VALORES","4.840","3,20%"
"DE LOS TRABAJADORES","1.186","0,79%"
"NUEVA GENERACIÓN","931","0,62%"
"Juntas Procesadas","550" 
"Juntas faltantes","0" 
"Votos recibidos","155.560" 
"Votos válidos","151.053"
"Nulos y blancos","4.507" 
"% Participación","57,06"
"% Abstencionismo","42,94"
