"Partido político","Votos","%"
"LIBERACIÓN NACIONAL","134.886","17,96%"
"RESTAURACIÓN NACIONAL","132.062","17,59%"
"ACCIÓN CIUDADANA","131.046","17,45%"
"UNIDAD SOCIAL CRISTIANA","114.201","15,21%"
"INTEGRACIÓN NACIONAL","51.804","6,90%"
"FRENTE AMPLIO","37.289","4,97%"
"REPUBLICANO SOCIALCRISTIANO","30.715","4,09%"
"MOVIMIENTO LIBERTARIO","16.813","2,24%"
"NUEVA GENERACIÓN","15.179","2,02%"
"ACCESIBILIDAD SIN EXCLUSIÓN","14.511","1,93%"
"ALIANZA DEMÓCRATA CRISTIANA","12.506","1,67%"
"RENOVACIÓN COSTARRICENSE","11.913","1,59%"
"VAMOS","8.283","1,10%"
"FUERZAS UNIDAS PARA EL CAMBIO","8.237","1,10%"
"TODOS","8.062","1,07%"
"COMUNAL UNIDO","6.270","0,83%"
"LIBERAL PROGRESISTA","5.881","0,78%"
"DE LOS TRANSPORTISTAS","4.868","0,65%"
"DE LOS TRABAJADORES","3.713","0,49%"
"PATRIA, IGUALDAD Y DEMOCRACIA","1.881","0,25%"
"NUEVO PARTIDO SOCIALISTA","790","0,11%"
"Juntas Procesadas","2.092" 
"Juntas faltantes","0" 
"Votos recibidos","762.348" 
"Votos válidos","750.910"
"Nulos y blancos","11.438" 
"% Participación","68,39"
"% Abstencionismo","31,61"
